Call..Failure,Complains,Subscription..Length,Charge..Amount,Seconds.of.Use,Frequency.of.use,Frequency.of.SMS,Distinct.Called.Numbers,Age.Group,Tariff.Plan,Status,Age,Customer.Value,Churn
9,1,58,2,9399,98,195,41,2,1,1,37,2139.1902134769957,0
6,1,52,1,544,103,398,5,3,2,1,32,4442.467694321774,0
25,0,17,5,2239,50,178,2,4,1,2,53,1639.9917418551984,1
8,0,35,7,10559,111,47,33,5,1,2,20,2626.6456613410314,0
27,1,37,2,2627,243,71,44,5,2,2,40,4271.095329629803,1
6,1,19,9,6618,168,112,49,5,2,2,63,3029.102801019677,1
8,0,44,7,12123,71,244,1,4,2,2,26,3625.9617132235585,1
7,0,29,7,6780,138,384,14,4,1,1,47,1144.1660210978205,0
11,1,59,4,8015,230,390,36,4,1,1,36,779.452187275697,1
1,0,7,7,3130,238,308,14,3,1,2,55,1151.53221704828,1
0,1,28,5,16480,252,158,31,2,1,1,20,2465.243231435284,0
15,1,9,4,14831,48,273,20,1,2,1,67,4004.8238238390913,0
22,0,28,8,2708,71,267,16,4,1,2,65,1769.9692523813314,1
22,0,6,6,5397,262,303,33,2,2,1,20,2824.0789099598555,1
29,0,29,7,11528,221,29,31,4,1,1,51,4024.0623048911893,0
23,0,58,0,16840,76,96,49,1,2,2,19,1193.8823304632097,0
4,0,17,1,5914,61,250,46,4,2,1,44,4414.878674599047,0
2,1,16,7,4368,156,494,22,2,1,2,40,4765.411561111916,1
11,1,23,8,11179,293,6,34,3,1,2,59,194.85067899660814,1
7,0,31,3,12076,124,91,36,1,2,2,49,295.555550423936,0
21,0,3,9,18321,228,112,42,2,1,1,64,454.79859373108445,0
26,0,21,9,13948,160,258,40,5,2,1,52,3883.8420425482236,1
2,1,26,8,17530,28,106,36,5,1,1,57,946.6847258948885,0
0,0,36,3,13824,113,62,32,5,1,2,35,3628.479932329535,1
2,0,42,9,4299,78,389,24,3,1,1,44,2206.380349359432,1
4,1,37,9,14120,22,478,45,4,1,1,28,4181.275046857013,1
14,1,53,9,8118,105,357,36,4,1,2,56,4042.777064021306,0
13,0,22,8,10756,130,270,39,4,2,2,36,4798.312806912235,1
2,0,42,6,7953,172,198,20,3,1,2,42,1255.1892523820552,0
0,0,12,1,4784,263,426,45,5,2,1,24,1146.1958138601608,0
4,1,42,8,15185,284,477,47,4,2,2,48,157.5398764429964,0
25,0,13,3,9024,1,346,37,3,2,1,19,2052.0804771326443,0
22,0,11,7,14674,232,336,39,3,1,2,55,2295.3158437770853,1
13,0,54,6,17845,250,145,33,2,2,2,22,4822.5691671471905,1
6,1,16,6,11708,107,405,18,4,2,2,31,4153.926470859866,1
26,1,8,7,1159,275,60,26,5,2,2,35,833.9585902496177,0
8,0,40,0,386,179,119,8,1,2,1,53,3992.446813041004,1
14,0,59,4,7192,212,60,4,3,2,1,21,891.4964041787792,1
14,1,57,1,10745,292,308,4,2,2,1,41,388.82534928888543,1
25,1,40,1,9910,71,25,24,1,1,2,30,4185.413757283683,1
9,1,45,0,3409,282,114,25,3,2,1,38,4879.797909284641,0
27,1,59,4,17073,174,474,18,2,2,2,50,440.5927226390205,0
12,1,2,1,13180,122,39,29,4,1,2,37,4069.62438109241,1
18,1,30,3,17336,226,343,35,2,2,1,22,4296.063243215837,0
6,1,30,2,6142,82,115,47,3,1,2,41,593.7779213322109,0
16,1,12,2,5967,252,135,47,4,1,2,52,1416.2673588597302,0
19,1,10,1,7205,145,276,15,5,2,1,47,3668.3031950653244,1
28,0,44,5,16006,119,476,6,2,2,1,45,4038.651397912642,1
3,0,11,1,12109,64,298,17,1,1,2,68,1769.8706102483259,0
29,0,15,7,13034,280,20,20,4,1,1,62,799.6469983976045,0
4,1,16,7,2484,282,386,30,4,1,2,24,3241.7223800461898,0
22,0,17,4,1854,105,30,0,5,1,1,59,3509.8430162173904,0
6,1,26,9,11631,299,246,2,2,2,2,52,2518.0392694751395,1
12,1,2,6,19615,106,410,30,1,1,2,47,724.7053382000779,0
14,0,50,3,2597,35,493,24,5,1,2,51,4222.433721613061,1
10,1,12,0,7829,146,26,7,2,1,1,56,3226.329795332583,0
28,0,51,1,8186,261,72,0,1,2,1,26,4345.821244154176,1
3,0,26,9,3983,158,440,6,1,1,2,29,4664.845372450413,0
12,0,23,9,6684,264,96,6,3,1,1,46,4028.489277190344,1
6,1,18,3,10383,201,160,7,1,2,1,27,4793.287072581674,1
26,0,32,0,17040,154,345,18,2,2,1,44,4771.288728729319,0
18,1,49,7,12004,12,475,16,5,1,2,36,3096.7227769516803,0
21,0,38,8,12103,296,299,10,5,1,1,30,3640.870509477528,1
27,0,57,3,6312,84,298,46,3,1,1,59,3497.0426765343427,1
1,0,47,9,7938,279,286,40,2,2,1,54,3105.6809751107835,0
9,1,3,2,9954,244,372,48,1,2,2,49,96.77587915426112,0
12,1,38,1,19669,299,448,10,3,1,2,32,1779.5334104281808,0
29,1,3,4,9777,8,211,37,4,1,2,38,500.39156855740174,0
290,0,30,2,199960,246,75,40,2,1,1,20,49994.553107531254,1
20,0,1,9,5041,277,400,49,3,2,2,25,342.8240346304873,1
5,1,30,6,11292,237,142,1,5,1,1,23,4600.157483256658,1
27,1,45,5,8026,202,33,3,3,1,1,46,2256.649578279763,0
27,1,32,0,13923,246,497,49,4,2,2,36,946.822238376927,0
11,1,28,7,19628,234,335,27,2,1,1,34,2923.8961553197596,0
11,1,21,1,17424,80,3,32,3,2,2,27,982.2546668631005,1
19,1,58,4,18657,12,327,10,1,2,1,50,4022.201608952131,0
29,0,46,8,3629,15,97,2,2,1,1,30,1529.5955487012552,1
29,1,13,7,2114,44,365,39,3,2,1,44,1574.5031643246537,0
10,0,27,1,1677,138,216,4,3,2,1,59,4349.754719582095,1
25,0,36,8,3094,147,462,20,2,1,1,29,2796.0144232511743,1
22,1,7,4,2284,235,27,21,5,2,2,19,4436.51052877755,1
27,1,22,9,5052,190,200,36,1,2,2,27,2064.4401493267906,0
24,0,10,5,17973,100,385,10,2,1,2,38,1719.6384827603895,0
6,1,39,2,18904,104,272,43,1,1,2,40,2531.014986330541,0
29,1,53,2,12047,249,313,21,1,1,1,18,307.45835601454775,0
0,0,15,9,694,93,126,40,2,1,1,50,771.003856046606,1
0,0,15,7,15588,219,201,12,3,1,2,69,1097.6081786315867,1
24,0,4,9,13055,297,8,2,5,2,2,43,4083.3864134323094,0
26,1,32,9,16080,132,286,12,1,2,1,32,3668.993784553804,0
29,0,23,1,6704,154,449,27,1,2,2,39,966.536393919718,0
24,1,55,1,7368,27,87,10,3,2,1,42,1383.7378218676295,0
19,0,6,4,1971,281,317,10,2,2,1,18,4721.309317335638,1
12,0,24,5,14593,115,18,20,5,1,2,43,429.0148111301206,0
8,0,20,1,8055,233,80,20,1,1,1,38,2737.275490740301,1
2,1,58,4,11441,0,106,6,1,1,1,58,2610.034960072495,1
6,1,37,6,14677,239,496,16,2,1,2,41,3628.539085788446,1
5,0,20,9,1868,57,457,47,3,2,2,56,1307.176881767513,0
7,0,12,9,18055,182,497,13,4,1,1,33,4673.863253989524,0
26,0,33,7,1728,25,310,32,3,1,2,49,2052.9144081434747,0
8,1,28,6,7632,76,411,10,1,2,1,33,1428.5980361710244,0
29,0,8,7,12043,216,229,12,1,2,2,30,1684.347084229324,1
4,1,1,8,6403,261,111,0,5,1,1,59,1743.6117440014275,0
0,0,37,4,15732,22,219,33,3,2,1,49,994.6420683263996,1
18,0,22,4,18526,243,122,8,4,2,1,67,4640.269599038803,0
9,0,6,9,9340,157,497,12,5,1,1,58,874.3759230466708,1
11,0,21,3,6184,205,243,36,4,2,1,61,4414.163171696846,1
23,0,32,8,253,86,177,29,5,1,1,41,2024.646099702137,1
14,0,35,4,4102,266,64,40,3,2,1,30,1346.3824175537582,0
26,1,15,1,3542,133,379,44,1,2,1,28,992.5447641933066,1
21,0,5,9,19159,266,2,36,4,2,1,32,2521.7116495413507,1
23,1,56,7,6212,267,206,46,3,2,2,27,3346.2927149478314,0
8,0,46,6,4637,52,435,6,4,1,1,59,4491.105152302406,1
19,0,50,7,11525,98,393,13,3,2,2,58,3262.232918550672,0
16,1,48,2,11471,246,20,47,5,1,2,20,2418.3124513638504,0
29,0,6,3,12500,35,292,5,3,1,2,33,167.38032289113082,1
16,1,25,4,15247,27,14,33,5,2,1,61,4577.1345283780975,1
25,1,56,5,10532,219,342,15,1,2,1,34,4511.846214912199,0
19,0,46,0,13518,101,205,36,5,1,2,42,1893.5848366041246,1
11,1,59,3,6476,262,462,35,2,2,1,47,145.1733133780625,0
29,1,56,9,19532,270,201,45,1,2,1,64,3666.847757538019,0
6,0,40,4,19743,223,119,5,3,1,1,52,3958.404384285661,1
1,1,29,6,1004,138,136,7,3,2,1,54,2712.329147776735,0
2,0,7,4,10286,279,299,23,2,1,1,30,2014.3749263141037,1
16,0,40,0,4717,285,294,2,3,2,1,41,4255.664189014995,1
4,0,13,6,3271,249,388,3,1,2,2,55,962.582083433784,0
16,0,38,7,12714,77,24,31,1,2,2,43,2197.790946079104,1
23,1,18,6,209,296,311,0,5,2,2,26,122.43055359345334,1
16,0,2,3,5539,12,233,33,4,2,2,36,820.0526398874308,1
26,0,8,7,16537,81,120,44,3,2,2,45,4704.1561733900535,1
16,1,11,4,19977,8,89,8,2,1,1,24,2890.4162518237877,1
1,0,33,9,8606,212,319,11,1,1,1,62,4027.9616476390925,1
1,0,54,8,11616,47,199,9,1,2,1,39,2432.5020705135676,0
27,1,38,9,1284,48,469,9,1,2,2,47,4174.1354900427,1
21,1,48,4,3148,39,179,49,4,1,2,54,2694.752554206594,0
22,1,27,0,768,279,344,43,4,1,1,33,22.688567054928164,0
4,1,20,8,5607,225,367,47,3,1,2,53,4498.495035154141,1
0,1,12,4,19586,107,75,22,2,2,1,22,742.830599179563,1
0,1,43,5,19171,244,136,5,4,2,1,46,2252.7738065388544,0
18,1,31,3,18594,254,137,23,5,2,1,69,2383.371644243623,0
29,0,27,5,7399,32,495,23,4,1,2,68,236.18136844856917,1
1,1,32,7,358,22,9,20,1,1,2,40,265.35192719622455,0
20,1,10,2,849,53,200,41,2,2,1,23,3812.759047223534,0
11,1,3,4,7498,48,317,30,3,1,1,53,1502.2539502534744,1
25,0,45,1,4522,77,345,46,4,2,2,50,2048.1408311994205,0
5,0,27,1,18928,121,482,40,1,2,2,66,2820.562577326199,0
22,1,35,6,12773,89,218,29,5,1,2,58,1866.930522736709,1
3,1,31,9,18215,192,59,33,5,2,2,33,3875.1871327159697,1
22,1,15,9,17856,243,478,17,3,1,1,51,4422.323268095837,1
10,0,16,9,9628,148,146,11,3,1,1,60,298.58942059929115,1
23,0,13,5,329,145,106,34,4,2,2,43,3177.0169195230437,0
26,1,49,3,5851,140,37,6,3,2,2,54,1588.300037285742,0
16,0,35,4,7032,285,133,40,1,1,2,30,2916.376392083962,0
5,1,52,0,15326,110,398,39,1,2,2,69,2419.5365906614925,0
23,0,11,6,5266,107,220,24,1,1,1,34,1668.3926050614111,0
4,0,59,7,4354,280,302,5,4,2,2,49,474.0782316532122,1
19,1,21,8,15082,49,428,0,4,1,2,49,2797.1995575144883,0
1,1,51,7,4722,13,132,45,3,1,1,45,563.9628321339019,0
5,1,54,4,17772,133,333,15,4,2,2,46,780.6004408834755,1
21,1,11,2,8911,75,52,47,1,2,1,42,4910.876274654551,0
10,0,30,9,3235,83,449,3,2,1,1,64,1583.5259517353938,0
15,0,48,8,4576,157,61,28,1,1,1,39,2922.1809481073547,1
15,0,53,5,1100,285,22,37,2,1,2,44,1361.15971009532,1
0,1,35,4,8864,93,43,46,3,1,1,61,4327.547193030734,0
8,0,22,2,8708,296,307,27,5,2,2,55,1416.7009543667525,1
27,1,38,5,18916,93,45,21,4,2,2,37,1834.4257581874447,0
26,0,31,2,17165,56,146,7,4,2,1,62,3041.9378890501653,0
5,1,14,9,14439,163,215,31,1,1,1,67,4349.933538222933,1
15,1,24,5,19907,97,339,32,1,2,1,41,4081.070772655067,0
28,0,50,3,11750,15,46,12,2,1,2,64,1319.2994277848163,1
2,1,49,1,9781,77,346,26,4,1,2,64,4147.774787477671,1
19,1,32,7,4995,71,307,17,3,2,1,25,3505.9765769548158,0
27,0,36,3,17885,269,23,17,1,2,2,68,4949.14245205508,0
26,1,32,8,11986,286,144,12,4,1,1,31,4677.238339931257,1
3,1,55,6,12510,65,88,21,5,1,2,56,2665.6836102268867,1
18,1,15,1,19464,67,173,13,2,2,2,31,3749.6430959627064,1
25,0,43,3,9268,192,63,10,1,1,2,22,2850.8985099361416,1
2,0,58,4,502,54,118,38,1,2,2,64,2974.9772105748616,0
18,1,35,2,9531,167,222,49,3,2,1,38,507.50414988889383,1
19,0,3,8,8009,24,155,21,1,1,1,32,11.228542388276308,0
6,1,16,4,17007,130,177,35,4,1,1,53,240.93187237443635,1
19,1,5,1,11542,101,319,16,4,1,2,50,4833.153339472122,1
8,1,21,2,17434,281,411,31,4,1,2,34,631.341139614946,0
0,1,10,8,17713,295,341,13,5,1,1,37,221.9485208759303,0
7,1,19,6,13435,293,55,41,5,2,1,18,1548.221048535825,1
6,0,25,1,4114,262,58,28,1,2,1,33,2940.8996997726413,0
17,1,4,8,13568,119,388,5,5,2,2,62,4742.303221514664,0
7,0,29,3,3367,230,437,49,5,2,1,35,3499.437892757435,0
0,0,19,8,8095,290,427,3,3,1,1,27,1381.764844500834,0
10,1,43,1,5141,160,425,10,5,2,1,40,4695.290091185741,1
27,1,2,9,3951,160,455,44,2,1,1,35,180.2053763260042,0
24,0,10,3,14887,77,380,39,2,1,1,66,4895.270036333964,1
24,0,43,4,1573,37,485,9,2,1,1,26,293.20350413224503,1
17,0,25,1,13359,27,219,27,1,1,1,63,3769.24986528583,1
22,1,20,9,19018,99,184,10,4,1,1,47,226.4876958672646,1
29,0,48,0,2768,293,46,34,3,2,1,30,4657.807211842535,0
9,1,19,6,5302,123,459,14,1,1,2,69,543.3294836556956,1
2,1,23,9,13746,91,376,7,4,1,1,69,252.39506513567545,1
6,1,24,0,1211,254,408,19,3,2,1,48,4446.325774124737,0
27,0,11,7,15445,96,101,49,3,2,1,63,478.969419588125,0
15,1,46,2,15815,5,43,20,3,2,2,60,3989.6564539004175,0
25,1,34,9,1160,168,14,0,2,1,2,30,3735.1732022800393,1
15,1,55,5,7041,270,235,28,2,1,1,49,2994.3901924418315,0
24,1,28,6,18767,107,360,23,2,1,2,34,1889.8136010965327,1
19,1,5,9,10846,298,50,29,3,1,2,20,4577.9027481649455,1
27,0,59,0,5876,46,308,39,3,2,1,18,4355.406279340622,1
16,1,5,5,19924,98,33,34,2,2,2,22,2131.2355547824645,0
1,1,51,6,12889,13,123,32,3,2,2,49,1158.6247815732409,1
0,0,21,5,13882,193,492,19,2,2,1,42,1362.8583470920723,1
15,1,12,3,14738,156,76,15,2,2,1,62,1101.6178868127697,0
29,0,50,0,1095,153,391,8,2,2,2,22,2706.2598138027206,1
11,1,4,8,5901,114,122,30,4,1,1,54,4342.694142851488,0
4,0,54,3,8215,257,204,16,3,1,1,40,3868.0598359908518,0
4,0,49,6,12911,144,227,30,1,2,1,29,3977.552299727195,0
26,1,42,6,14123,290,69,47,2,2,2,51,2241.4424584982266,0
22,1,20,1,1079,9,229,22,1,2,1,40,1612.2241589919006,0
8,1,38,0,12510,213,479,5,4,2,2,33,3786.778853525263,0
8,0,25,7,19231,232,20,29,3,1,2,66,3966.491379272438,1
2,0,14,7,18344,170,107,6,2,1,1,22,3476.7685324035288,0
18,0,11,6,1473,20,363,47,2,1,2,61,160.5356127113422,1
15,1,32,7,4888,14,240,39,2,2,1,64,2948.4234403424193,1
15,0,11,2,4979,125,250,41,1,2,1,45,1735.2291462394232,1
2,0,18,1,1212,212,134,45,4,2,1,23,980.9637451328374,1
19,1,27,6,9001,187,89,10,3,1,1,30,3471.976316711493,0
23,0,55,7,13248,171,78,33,4,1,1,60,1342.6306784303893,1
21,0,54,0,419,246,439,11,2,1,2,47,4564.205794779278,0
23,1,18,9,15608,4,176,44,4,2,2,43,1490.3953688159743,1
0,0,56,8,3659,230,297,46,1,1,1,34,2775.902998218218,0
23,1,23,3,5283,200,406,26,5,1,2,26,4138.810818258168,0
19,1,11,3,10715,148,307,11,5,2,2,33,2010.5916901369164,1
10,1,21,2,16165,71,101,12,3,1,2,66,4143.289796205135,0
16,1,44,5,1340,225,360,7,3,2,2,69,3618.481987343312,0
7,1,5,0,14805,73,334,15,4,2,1,35,4604.329765415773,0
3,0,23,5,10584,168,111,28,3,2,1,30,1629.172812948827,0
5,0,41,1,14780,248,180,34,1,1,1,46,525.1403239006613,1
7,1,59,8,5137,279,103,28,2,1,2,60,2151.747489652137,1
19,1,25,1,17745,151,15,30,2,2,2,62,3929.0673459456902,1
29,0,41,6,591,223,95,12,4,1,1,41,2252.175566950276,1
2,1,54,0,526,224,292,11,2,2,1,62,1309.9396509653532,0
15,1,10,6,7855,37,145,1,4,1,2,61,138.0158878650739,1
29,1,22,4,10695,43,403,32,3,2,1,63,1565.1190147791367,1
24,0,19,7,1292,184,301,7,3,2,2,30,3566.9055558156897,0
2,0,1,3,18038,240,1,40,1,1,1,42,738.0687811336828,0
