"Call..Failure","Complains","Subscription..Length","Charge..Amount","Seconds.of.Use","Frequency.of.use","Frequency.of.SMS","Distinct.Called.Numbers","Age.Group","Tariff.Plan","Status","Age","Customer.Value","Churn","Seconds.of.Use.Interval"
11,0,43,2,5672,181,398,0,2,2,2,56,127.521680657502,0,"[0,4e+04]"
24,1,25,6,1502,147,16,16,3,1,1,57,1288.87346591441,0,"[0,4e+04]"
16,1,59,7,1410,22,50,1,5,1,1,45,812.430794443786,1,"[0,4e+04]"
26,1,3,1,3770,104,446,5,1,1,2,19,4782.38910652807,1,"[0,4e+04]"
26,1,15,3,10097,162,269,43,2,1,2,35,3526.40801985513,1,"[0,4e+04]"
9,0,29,2,4001,66,314,10,5,2,2,44,1166.16342059473,1,"[0,4e+04]"
27,1,53,1,19867,289,82,42,1,1,1,38,1037.30292718097,1,"[0,4e+04]"
27,0,43,5,598,288,305,17,3,2,2,40,4290.15272693638,1,"[0,4e+04]"
15,0,32,3,10976,45,123,39,4,2,2,24,951.133482082066,1,"[0,4e+04]"
14,0,26,5,19425,80,289,24,1,1,2,69,4985.29600098614,1,"[0,4e+04]"
29,1,16,1,6391,146,261,38,1,1,2,65,1411.515600057,1,"[0,4e+04]"
29,0,25,3,16450,221,364,27,1,2,2,36,421.663574347675,1,"[0,4e+04]"
14,0,54,5,14908,14,48,45,4,2,2,26,3454.70947008429,0,"[0,4e+04]"
29,0,28,4,11590,120,5,15,2,2,2,29,3048.21396292087,0,"[0,4e+04]"
18,1,9,2,16279,77,116,11,4,1,2,63,4999.11082680728,1,"[0,4e+04]"
11,1,56,7,2750,294,117,40,1,2,2,47,4010.42872185988,1,"[0,4e+04]"
22,0,56,6,9916,240,452,28,3,1,2,24,2144.1826656662,0,"[0,4e+04]"
19,1,1,2,6806,17,262,22,1,2,2,19,3383.05724081542,1,"[0,4e+04]"
24,1,29,5,6429,255,352,20,3,2,2,34,4089.24726801676,0,"[0,4e+04]"
2,0,57,3,8123,276,460,15,5,1,1,28,2568.63262721648,0,"[0,4e+04]"
4,0,22,4,18015,26,434,47,3,1,2,67,1364.35725367606,0,"[0,4e+04]"
18,1,16,4,6452,1,373,40,1,2,2,29,1050.52821143185,0,"[0,4e+04]"
6,0,41,6,17158,294,128,44,4,1,2,20,1476.40718306807,0,"[0,4e+04]"
20,1,51,4,15456,238,396,25,1,1,2,38,4240.34390834903,1,"[0,4e+04]"
8,1,44,2,4019,12,170,36,1,2,2,31,1902.16186244368,0,"[0,4e+04]"
6,1,51,9,12419,183,26,21,5,1,1,32,1433.32079283159,1,"[0,4e+04]"
17,1,54,4,929,193,198,9,2,1,2,68,4029.4361389754,0,"[0,4e+04]"
3,1,41,6,19396,55,371,6,1,2,1,59,159.601708872718,0,"[0,4e+04]"
24,1,7,4,6264,229,386,8,5,2,2,58,2969.79135465171,0,"[0,4e+04]"
27,0,14,4,7973,27,313,24,4,1,1,27,4368.15901593136,1,"[0,4e+04]"
13,0,29,8,9697,70,344,45,5,1,1,69,2050.41874527804,0,"[0,4e+04]"
17,1,19,2,11136,209,96,14,5,1,2,53,1346.59080679642,0,"[0,4e+04]"
25,1,19,5,19203,183,487,12,3,2,1,68,2458.54534717978,1,"[0,4e+04]"
8,1,2,0,1184,40,16,41,2,2,1,27,3587.3858384604,1,"[0,4e+04]"
25,0,41,9,16911,259,172,45,2,1,2,34,2583.027815176,0,"[0,4e+04]"
20,1,45,4,916,83,461,25,4,1,1,61,38.1949731288655,0,"[0,4e+04]"
1,0,15,7,3574,45,100,20,5,1,1,42,391.62278054008,0,"[0,4e+04]"
19,1,3,4,3319,158,185,22,4,2,1,44,3606.64211544851,1,"[0,4e+04]"
27,1,11,8,1999600,6,183,43,4,2,2,50,1999.75667437749,0,"(1.96e+06,2e+06]"
14,0,53,5,17625,135,437,27,2,1,2,28,3923.87915635118,1,"[0,4e+04]"
27,0,46,7,5206,182,214,37,2,1,2,30,3247.44957052954,0,"[0,4e+04]"
6,1,30,9,19517,196,250,11,2,1,2,18,2907.57917160939,1,"[0,4e+04]"
11,1,57,7,17182,171,215,23,1,1,1,48,4506.87584189206,1,"[0,4e+04]"
28,1,40,2,17907,275,28,12,5,2,2,50,106.610367403563,0,"[0,4e+04]"
7,0,18,6,4928,77,101,39,4,1,1,38,775.171806989008,0,"[0,4e+04]"
14,0,51,6,16105,2990,122,47,5,1,2,33,3121.87977745988,1,"[0,4e+04]"
2,0,48,9,2888,26,53,1,4,2,2,56,329.140232750477,0,"[0,4e+04]"
13,0,2,5,2690,119,282,38,4,1,1,40,3224.85242530346,1,"[0,4e+04]"
16,0,32,6,4091,280,101,11,4,1,1,27,4920.60538512634,1,"[0,4e+04]"
3,0,8,1,13960,195,116,38,4,1,2,65,4394.04049497267,0,"[0,4e+04]"
17,1,22,8,690,276,103,13,3,1,2,50,2954.58462012714,1,"[0,4e+04]"
7,1,6,9,1495,17,44,29,3,1,2,39,4469.88337152981,0,"[0,4e+04]"
3,0,12,9,11085,294,113,40,1,1,2,58,581.340756331326,1,"[0,4e+04]"
1,1,47,0,17276,270,342,49,2,2,2,23,2273.47082462782,0,"[0,4e+04]"
29,1,57,0,10720,52,30,42,4,1,1,64,2143.38057906038,0,"[0,4e+04]"
5,0,40,2,5873,293,163,47,5,2,2,53,1682.23793496496,0,"[0,4e+04]"
21,1,36,2,4503,51,464,18,3,2,1,64,1.00699067155208,1,"[0,4e+04]"
9,0,15,0,11720,215,188,30,2,2,2,27,4455.14509305626,0,"[0,4e+04]"
3,0,28,6,13964,71,292,42,1,2,2,33,3888.53305076398,1,"[0,4e+04]"
21,1,52,3,897,27,194,49,2,1,1,30,3264.28757799894,1,"[0,4e+04]"
28,0,57,9,17094,251,291,42,4,1,2,68,644.83421925817,0,"[0,4e+04]"
17,0,49,1,3695,34,374,24,2,1,1,37,1891.02566845752,1,"[0,4e+04]"
25,0,45,9,2686,200,260,3,4,1,1,21,4621.63498683916,0,"[0,4e+04]"
11,0,18,4,5778,248,429,49,3,2,2,37,3084.64802534773,1,"[0,4e+04]"
1,0,2,5,15150,98,206,12,3,2,1,39,3017.05268263013,1,"[0,4e+04]"
9,0,13,8,16799,139,51,35,4,2,2,46,4565.63287378517,0,"[0,4e+04]"
29,0,45,3,9663,82,48,41,5,1,2,33,2799.16862449819,0,"[0,4e+04]"
3,0,54,1,4180,47,5,36,3,2,2,60,2988.1162427849,1,"[0,4e+04]"
13,1,15,4,4262,277,378,2,5,1,2,64,1728.57847238109,0,"[0,4e+04]"
15,1,20,2,2515,247,393,15,4,2,2,60,1857.20464616186,0,"[0,4e+04]"
14,1,29,1,11236,176,373,25,4,1,2,40,3428.03431207076,1,"[0,4e+04]"
7,0,59,0,14104,51,223,39,3,2,2,47,1602.17608315656,0,"[0,4e+04]"
13,0,42,9,6616,78,22,38,5,2,1,47,2795.53960293925,1,"[0,4e+04]"
22,1,29,1,17376,63,495,18,4,1,2,60,1395.9834557829,0,"[0,4e+04]"
27,1,3,5,4370,7,144,45,3,2,1,20,830.626189772227,0,"[0,4e+04]"
24,1,19,7,18157,213,109,14,4,2,2,41,2272.01229469351,1,"[0,4e+04]"
29,0,3,2,19945,24,211,31,2,1,2,66,1087.23006207054,1,"[0,4e+04]"
7,1,54,8,3816,255,299,48,2,2,1,54,4492.4715254077,0,"[0,4e+04]"
20,1,14,8,1756,242,40,20,3,2,1,30,1518.06482913516,0,"[0,4e+04]"
15,0,40,1,2373,197,398,0,4,2,1,59,2987.0104776966,1,"[0,4e+04]"
12,1,59,7,2576,93,171,5,3,2,1,49,1317.20920272602,0,"[0,4e+04]"
17,0,55,9,4184,206,493,26,1,1,2,54,1290.09631362383,0,"[0,4e+04]"
14,0,4,4,2397,14,185,22,3,1,2,29,1753.18040739204,0,"[0,4e+04]"
20,0,59,3,12674,177,213,46,3,2,1,25,4579.37283660475,0,"[0,4e+04]"
23,1,52,9,10326,74,305,30,2,1,2,41,1957.48869142633,1,"[0,4e+04]"
25,1,11,4,10546,103,51,11,2,2,1,61,4106.33234712072,0,"[0,4e+04]"
24,0,58,3,4535,293,69,20,4,1,1,33,986.490372692165,1,"[0,4e+04]"
27,1,31,7,14599,167,195,1,3,2,1,49,240.847715682155,1,"[0,4e+04]"
27,1,43,3,9168,114,446,4,3,2,1,51,3908.38960650721,0,"[0,4e+04]"
27,1,32,9,17118,38,441,8,4,1,1,52,2709.37448728551,1,"[0,4e+04]"
12,1,27,5,632,272,150,19,5,2,2,49,2518.62906513461,0,"[0,4e+04]"
8,0,30,1,13280,134,427,45,4,2,1,67,1361.02924624707,0,"[0,4e+04]"
28,1,43,4,14746,231,108,17,2,2,1,34,361.585074296759,1,"[0,4e+04]"
14,0,2,90,4268,38,466,21,2,2,2,19,2414.30018166423,1,"[0,4e+04]"
12,0,49,4,19285,290,117,7,3,1,1,43,4336.13179399686,1,"[0,4e+04]"
0,1,9,1,18047,46,364,33,2,1,1,61,600.110068517429,0,"[0,4e+04]"
24,0,28,6,15321,35,94,8,4,1,2,34,4645.85439673586,0,"[0,4e+04]"
6,1,31,3,10207,94,255,6,3,1,2,55,1373.64540120807,0,"[0,4e+04]"
8,1,34,7,5591,12,43,29,4,2,2,66,2660.93146414331,1,"[0,4e+04]"
23,0,56,6,16226,145,435,17,4,2,2,19,332.541977332909,1,"[0,4e+04]"
0,0,15,6,1054,64,66,26,3,2,2,25,2125.23296901323,1,"[0,4e+04]"
11,0,48,8,8572,227,155,15,5,2,1,63,629.489432035817,1,"[0,4e+04]"
7,0,25,0,13579,241,322,20,2,1,1,23,239.868930386037,1,"[0,4e+04]"
23,1,36,9,19466,7,205,4,1,1,1,26,4832.78846713825,0,"[0,4e+04]"
10,1,8,5,10583,42,273,28,1,1,2,18,3650.47267732066,0,"[0,4e+04]"
18,1,9,5,8007,243,154,46,1,2,2,22,3595.2886050683,1,"[0,4e+04]"
16,0,58,5,15903,180,178,36,2,2,2,56,452.74844741876,1,"[0,4e+04]"
7,0,58,5,9784,84,59,42,5,2,2,26,4646.75262243871,1,"[0,4e+04]"
2,0,37,9,4261,154,73,21,4,2,2,31,2347.34257504943,1,"[0,4e+04]"
2,1,48,6,2389,274,48,13,3,1,2,44,4261.42034028716,0,"[0,4e+04]"
0,0,45,9,19937,22,270,18,5,1,1,26,63.0055055688539,1,"[0,4e+04]"
26,1,39,5,13939,114,466,34,1,1,2,53,1491.03240668753,1,"[0,4e+04]"
4,0,32,0,11219,298,72,23,2,2,1,46,4980.23561063233,1,"[0,4e+04]"
9,1,58,2,9399,98,195,41,2,1,1,37,2139.190213477,0,"[0,4e+04]"
6,1,52,1,544,103,398,5,3,2,1,32,4442.46769432177,0,"[0,4e+04]"
25,0,17,5,2239,50,178,2,4,1,2,53,1639.9917418552,1,"[0,4e+04]"
8,0,35,7,10559,111,47,33,5,1,2,20,2626.64566134103,0,"[0,4e+04]"
27,1,37,2,2627,243,71,44,5,2,2,40,4271.0953296298,1,"[0,4e+04]"
6,1,19,9,6618,168,112,49,5,2,2,63,3029.10280101968,1,"[0,4e+04]"
8,0,44,7,12123,71,244,1,4,2,2,26,3625.96171322356,1,"[0,4e+04]"
7,0,29,7,6780,138,384,14,4,1,1,47,1144.16602109782,0,"[0,4e+04]"
11,1,59,4,8015,230,390,36,4,1,1,36,779.452187275697,1,"[0,4e+04]"
1,0,7,7,3130,238,308,14,3,1,2,55,1151.53221704828,1,"[0,4e+04]"
0,1,28,90,16480,252,158,31,2,1,1,20,2465.24323143528,0,"[0,4e+04]"
15,1,9,4,14831,48,273,20,1,2,1,67,4004.82382383909,0,"[0,4e+04]"
22,0,28,8,2708,71,267,16,4,1,2,65,1769.96925238133,1,"[0,4e+04]"
22,0,6,6,5397,262,303,33,2,2,1,20,2824.07890995986,1,"[0,4e+04]"
29,0,29,7,11528,221,29,31,4,1,1,51,4024.06230489119,0,"[0,4e+04]"
23,0,58,0,16840,76,96,49,1,2,2,19,1193.88233046321,0,"[0,4e+04]"
4,0,17,1,5914,61,250,46,4,2,1,44,4414.87867459905,0,"[0,4e+04]"
2,1,16,7,4368,156,494,22,2,1,2,40,4765.41156111192,1,"[0,4e+04]"
11,1,23,8,11179,293,6,34,3,1,2,59,194.850678996608,1,"[0,4e+04]"
7,0,31,3,12076,124,91,36,1,2,2,49,295.555550423936,0,"[0,4e+04]"
21,0,3,9,18321,228,112,42,2,1,1,64,454.798593731084,0,"[0,4e+04]"
26,0,21,9,13948,160,258,40,5,2,1,52,3883.84204254822,1,"[0,4e+04]"
2,1,26,8,17530,28,106,36,5,1,1,57,946.684725894888,0,"[0,4e+04]"
0,0,36,3,13824,113,62,32,5,1,2,35,3628.47993232954,1,"[0,4e+04]"
2,0,42,9,4299,78,389,24,3,1,1,44,2206.38034935943,1,"[0,4e+04]"
4,1,37,9,14120,22,478,45,4,1,1,28,4181.27504685701,1,"[0,4e+04]"
14,1,53,9,8118,105,357,36,4,1,2,56,4042.77706402131,0,"[0,4e+04]"
13,0,22,8,10756,130,270,39,4,2,2,36,4798.31280691223,1,"[0,4e+04]"
2,0,42,6,7953,172,198,20,3,1,2,42,1255.18925238206,0,"[0,4e+04]"
0,0,12,1,4784,263,426,490,5,2,1,24,1146.19581386016,0,"[0,4e+04]"
4,1,42,8,15185,284,477,47,4,2,2,48,157.539876442996,0,"[0,4e+04]"
25,0,13,3,9024,1,346,37,3,2,1,19,2052.08047713264,0,"[0,4e+04]"
22,0,11,7,14674,232,336,39,3,1,2,55,2295.31584377709,1,"[0,4e+04]"
13,0,54,6,17845,250,145,33,2,2,2,22,4822.56916714719,1,"[0,4e+04]"
6,1,16,6,11708,107,405,18,4,2,2,31,4153.92647085987,1,"[0,4e+04]"
26,1,8,7,1159,275,60,26,5,2,2,35,833.958590249618,0,"[0,4e+04]"
8,0,40,0,386,179,119,8,1,2,1,53,3992.446813041,1,"[0,4e+04]"
14,0,59,4,7192,212,60,4,3,2,1,21,891.496404178779,1,"[0,4e+04]"
14,1,57,1,10745,292,308,4,2,2,1,41,388.825349288885,1,"[0,4e+04]"
25,1,40,1,9910,71,25,24,1,1,2,30,4185.41375728368,1,"[0,4e+04]"
9,1,45,0,3409,282,114,25,3,2,1,38,4879.79790928464,0,"[0,4e+04]"
27,1,59,4,17073,174,474,18,2,2,2,50,440.59272263902,0,"[0,4e+04]"
12,1,2,1,13180,122,39,29,4,1,2,37,4069.62438109241,1,"[0,4e+04]"
18,1,30,3,17336,226,343,35,2,2,1,22,4296.06324321584,0,"[0,4e+04]"
6,1,30,2,6142,82,115,47,3,1,2,41,593.777921332211,0,"[0,4e+04]"
16,1,12,2,5967,252,135,47,4,1,2,52,1416.26735885973,0,"[0,4e+04]"
19,1,10,1,7205,145,276,15,5,2,1,47,3668.30319506532,1,"[0,4e+04]"
28,0,44,5,16006,119,476,6,2,2,1,45,4038.65139791264,1,"[0,4e+04]"
3,0,11,1,12109,64,298,17,1,1,2,68,1769.87061024833,0,"[0,4e+04]"
29,0,15,7,13034,280,20,20,4,1,1,62,799.646998397605,0,"[0,4e+04]"
4,1,16,7,2484,282,386,30,4,1,2,24,3241.72238004619,0,"[0,4e+04]"
22,0,17,4,1854,105,30,0,5,1,1,59,3509.84301621739,0,"[0,4e+04]"
6,1,26,9,11631,299,246,2,2,2,2,52,2518.03926947514,1,"[0,4e+04]"
12,1,2,6,19615,106,410,30,1,1,2,47,724.705338200078,0,"[0,4e+04]"
14,0,50,3,2597,35,493,24,5,1,2,51,4222.43372161306,1,"[0,4e+04]"
10,1,12,0,7829,146,26,7,2,1,1,56,3226.32979533258,0,"[0,4e+04]"
28,0,51,1,8186,261,72,0,1,2,1,26,4345.82124415418,1,"[0,4e+04]"
3,0,26,9,3983,158,440,6,1,1,2,29,4664.84537245041,0,"[0,4e+04]"
12,0,23,9,6684,264,96,6,3,1,1,46,4028.48927719034,1,"[0,4e+04]"
6,1,18,3,10383,201,160,7,1,2,1,27,4793.28707258167,1,"[0,4e+04]"
26,0,32,0,17040,154,345,18,2,2,1,44,4771.28872872932,0,"[0,4e+04]"
18,1,49,7,12004,12,475,16,5,1,2,36,3096.72277695168,0,"[0,4e+04]"
21,0,38,8,12103,296,299,10,5,1,1,30,3640.87050947753,1,"[0,4e+04]"
27,0,57,3,6312,84,298,46,3,1,1,59,3497.04267653434,1,"[0,4e+04]"
1,0,47,9,7938,279,286,40,2,2,1,54,3105.68097511078,0,"[0,4e+04]"
9,1,3,2,9954,244,372,48,1,2,2,49,96.7758791542611,0,"[0,4e+04]"
12,1,38,1,19669,299,448,10,3,1,2,32,1779.53341042818,0,"[0,4e+04]"
29,1,3,4,9777,8,211,37,4,1,2,38,500.391568557402,0,"[0,4e+04]"
290,0,30,2,199960,246,75,40,2,1,1,20,49994.5531075312,1,"(1.6e+05,2e+05]"
20,0,1,9,5041,277,400,49,3,2,2,25,342.824034630487,1,"[0,4e+04]"
5,1,30,6,11292,237,142,1,5,1,1,23,4600.15748325666,1,"[0,4e+04]"
27,1,45,5,8026,202,33,3,3,1,1,46,2256.64957827976,0,"[0,4e+04]"
27,1,32,0,13923,246,497,49,4,2,2,36,946.822238376927,0,"[0,4e+04]"
11,1,28,7,19628,234,335,27,2,1,1,34,2923.89615531976,0,"[0,4e+04]"
11,1,21,1,17424,80,3,32,3,2,2,27,982.2546668631,1,"[0,4e+04]"
19,1,58,4,18657,12,327,10,1,2,1,50,4022.20160895213,0,"[0,4e+04]"
29,0,46,8,3629,15,97,2,2,1,1,30,1529.59554870126,1,"[0,4e+04]"
29,1,13,7,2114,44,365,39,3,2,1,44,1574.50316432465,0,"[0,4e+04]"
10,0,27,1,1677,138,4990,4,3,2,1,59,4349.7547195821,1,"[0,4e+04]"
25,0,36,8,3094,147,462,20,2,1,1,29,2796.01442325117,1,"[0,4e+04]"
22,1,7,4,2284,235,27,21,5,2,2,19,4436.51052877755,1,"[0,4e+04]"
27,1,22,9,5052,190,200,36,1,2,2,27,2064.44014932679,0,"[0,4e+04]"
24,0,10,5,17973,100,385,10,2,1,2,38,1719.63848276039,0,"[0,4e+04]"
6,1,39,2,18904,104,272,43,1,1,2,40,2531.01498633054,0,"[0,4e+04]"
29,1,53,2,12047,249,313,21,1,1,1,18,307.458356014548,0,"[0,4e+04]"
0,0,15,9,694,93,126,40,2,1,1,50,771.003856046606,1,"[0,4e+04]"
0,0,15,7,15588,219,201,12,3,1,2,69,1097.60817863159,1,"[0,4e+04]"
24,0,4,9,13055,297,8,2,5,2,2,43,4083.38641343231,0,"[0,4e+04]"
26,1,32,9,16080,132,286,12,1,2,1,32,3668.9937845538,0,"[0,4e+04]"
29,0,23,1,6704,154,449,27,1,2,2,39,966.536393919718,0,"[0,4e+04]"
24,1,55,1,7368,27,87,10,3,2,1,42,1383.73782186763,0,"[0,4e+04]"
19,0,6,4,1971,281,317,10,2,2,1,18,4721.30931733564,1,"[0,4e+04]"
12,0,24,5,14593,115,18,20,5,1,2,43,429.014811130121,0,"[0,4e+04]"
8,0,20,1,8055,233,80,20,1,1,1,38,2737.2754907403,1,"[0,4e+04]"
2,1,58,4,11441,0,106,6,1,1,1,58,2610.0349600725,1,"[0,4e+04]"
6,1,37,6,14677,239,496,16,2,1,2,41,3628.53908578845,1,"[0,4e+04]"
5,0,20,9,1868,57,457,47,3,2,2,56,1307.17688176751,0,"[0,4e+04]"
7,0,12,9,18055,182,497,13,4,1,1,33,4673.86325398952,0,"[0,4e+04]"
26,0,33,7,1728,25,310,32,3,1,2,49,2052.91440814347,0,"[0,4e+04]"
8,1,28,6,7632,76,411,10,1,2,1,33,1428.59803617102,0,"[0,4e+04]"
29,0,8,7,12043,216,229,12,1,2,2,30,1684.34708422932,1,"[0,4e+04]"
4,1,1,8,6403,261,111,0,5,1,1,59,1743.61174400143,0,"[0,4e+04]"
0,0,37,4,15732,22,219,33,3,2,1,49,994.6420683264,1,"[0,4e+04]"
18,0,22,4,18526,243,122,8,4,2,1,67,4640.2695990388,0,"[0,4e+04]"
9,0,6,9,9340,157,497,12,5,1,1,58,874.375923046671,1,"[0,4e+04]"
11,0,21,3,6184,205,243,36,4,2,1,61,4414.16317169685,1,"[0,4e+04]"
23,0,32,8,253,86,177,29,5,1,1,41,2024.64609970214,1,"[0,4e+04]"
14,0,35,4,4102,266,64,40,3,2,1,30,1346.38241755376,0,"[0,4e+04]"
26,1,15,1,3542,133,379,44,1,2,1,28,992.544764193307,1,"[0,4e+04]"
21,0,5,9,19159,266,2,36,4,2,1,32,2521.71164954135,1,"[0,4e+04]"
23,1,56,7,6212,267,206,46,3,2,2,27,3346.29271494783,0,"[0,4e+04]"
8,0,46,6,4637,52,435,6,4,1,1,59,4491.10515230241,1,"[0,4e+04]"
19,0,50,7,11525,98,393,13,3,2,2,58,3262.23291855067,0,"[0,4e+04]"
16,1,48,2,11471,246,20,47,5,1,2,20,2418.31245136385,0,"[0,4e+04]"
29,0,6,3,12500,35,292,5,3,1,2,33,167.380322891131,1,"[0,4e+04]"
16,1,25,4,15247,27,14,33,5,2,1,61,4577.1345283781,1,"[0,4e+04]"
25,1,56,5,10532,219,342,15,1,2,1,34,4511.8462149122,0,"[0,4e+04]"
19,0,46,0,13518,101,205,36,5,1,2,42,1893.58483660412,1,"[0,4e+04]"
11,1,59,3,6476,262,462,35,2,2,1,47,145.173313378062,0,"[0,4e+04]"
29,1,56,9,19532,270,201,45,1,2,1,64,3666.84775753802,0,"[0,4e+04]"
6,0,40,4,19743,223,119,5,3,1,1,52,3958.40438428566,1,"[0,4e+04]"
1,1,29,6,1004,138,136,7,3,2,1,54,2712.32914777674,0,"[0,4e+04]"
2,0,7,4,10286,279,299,23,2,1,1,30,2014.3749263141,1,"[0,4e+04]"
16,0,40,0,4717,285,294,2,3,2,1,41,4255.664189015,1,"[0,4e+04]"
4,0,13,6,3271,249,388,3,1,2,2,55,962.582083433784,0,"[0,4e+04]"
16,0,38,7,12714,77,24,31,1,2,2,43,2197.7909460791,1,"[0,4e+04]"
23,1,18,6,209,296,311,0,5,2,2,26,122.430553593453,1,"[0,4e+04]"
16,0,2,3,5539,12,233,33,4,2,2,36,820.052639887431,1,"[0,4e+04]"
26,0,8,7,16537,81,120,44,3,2,2,45,4704.15617339005,1,"[0,4e+04]"
16,1,11,4,19977,8,89,8,2,1,1,24,2890.41625182379,1,"[0,4e+04]"
1,0,33,9,8606,212,319,11,1,1,1,62,4027.96164763909,1,"[0,4e+04]"
1,0,54,8,11616,47,199,9,1,2,1,39,2432.50207051357,0,"[0,4e+04]"
27,1,38,9,1284,48,469,9,1,2,2,47,4174.1354900427,1,"[0,4e+04]"
21,1,48,4,3148,39,179,49,4,1,2,54,2694.75255420659,0,"[0,4e+04]"
22,1,27,0,768,279,344,43,4,1,1,33,22.6885670549282,0,"[0,4e+04]"
4,1,20,8,5607,225,367,47,3,1,2,53,4498.49503515414,1,"[0,4e+04]"
0,1,12,4,19586,107,75,22,2,2,1,22,742.830599179563,1,"[0,4e+04]"
0,1,43,5,19171,244,136,5,4,2,1,46,2252.77380653885,0,"[0,4e+04]"
18,1,31,3,18594,254,137,23,5,2,1,69,2383.37164424362,0,"[0,4e+04]"
29,0,27,5,7399,32,495,23,4,1,2,68,236.181368448569,1,"[0,4e+04]"
1,1,32,7,358,22,9,20,1,1,2,40,265.351927196224,0,"[0,4e+04]"
20,1,10,2,849,53,200,41,2,2,1,23,3812.75904722353,0,"[0,4e+04]"
11,1,3,4,7498,48,317,30,3,1,1,53,1502.25395025347,1,"[0,4e+04]"
25,0,45,1,4522,77,345,46,4,2,2,50,2048.14083119942,0,"[0,4e+04]"
5,0,27,1,18928,121,482,40,1,2,2,66,2820.5625773262,0,"[0,4e+04]"
22,1,35,6,12773,89,218,29,5,1,2,58,1866.93052273671,1,"[0,4e+04]"
3,1,31,9,18215,192,59,33,5,2,2,33,3875.18713271597,1,"[0,4e+04]"
2900,1,15,9,17856,243,478,17,3,1,1,51,4422.32326809584,1,"[0,4e+04]"
10,0,16,9,9628,148,146,11,3,1,1,60,298.589420599291,1,"[0,4e+04]"
23,0,13,5,329,145,106,34,4,2,2,43,3177.01691952304,0,"[0,4e+04]"
26,1,49,3,5851,140,37,6,3,2,2,54,1588.30003728574,0,"[0,4e+04]"
16,0,35,4,7032,285,133,40,1,1,2,30,2916.37639208396,0,"[0,4e+04]"
