Call..Failure,Complains,Subscription..Length,Charge..Amount,Seconds.of.Use,Frequency.of.use,Frequency.of.SMS,Distinct.Called.Numbers,Age.Group,Tariff.Plan,Status,Age,Customer.Value,Churn
2,0,30,0,1036,15,9,27,5,2,1,62,338.26,1
4,0,20,6,2787,216,39,54,3,2,2,42,202.19,0
2,0,38,2,7283,166,12,90,2,1,1,25,69.6,0
6,1,28,2,9060,76,28,12,5,2,2,69,313.91,0
4,0,25,1,9065,298,4,8,3,2,1,49,226.88,1
8,0,32,9,4880,149,11,74,5,1,1,67,213.84,1
6,0,10,5,6932,22,12,16,1,1,2,30,168.96,1
1,1,42,9,9328,161,21,52,2,1,1,63,52.7,0
3,0,40,1,7333,118,39,26,5,2,1,32,132.06,0
8,0,33,9,6759,158,14,8,1,2,2,23,263.41,0
1,1,13,3,7485,213,12,45,2,2,1,50,174.08,1
9,1,56,9,6067,30,0,93,5,2,2,24,443.47,1
8,0,41,8,1661,69,37,84,5,1,1,50,114.35,1
9,0,54,8,8973,30,42,81,5,1,1,64,443.9,0
4,0,42,5,7386,254,44,19,5,1,2,46,232.17,0
1,0,47,3,8887,82,0,17,4,1,1,55,174.13,1
3,0,37,6,1414,85,10,65,5,1,1,54,186.93,1
6,1,54,0,7850,195,42,29,4,2,2,61,198.53,1
7,1,16,3,9534,87,39,14,4,2,2,49,277.95,0
2,0,45,4,3729,74,21,17,1,2,2,20,209.25,1
0,0,22,7,4897,299,34,13,2,1,1,37,341.24,0
3,1,57,1,3169,65,43,93,4,1,1,31,241.33,1
1,0,20,4,2878,268,5,98,3,2,2,45,352.24,1
7,0,50,5,7454,199,27,91,4,2,1,55,321.99,1
3,0,43,4,5570,15,30,63,3,2,1,21,160.0,1
1,0,27,8,2515,15,7,33,1,2,1,32,415.75,1
5,0,41,9,1574,200,4,29,3,2,1,34,409.54,1
5,1,16,0,3867,157,41,37,1,2,1,54,495.04,1
9,0,34,2,4544,267,47,83,1,1,2,41,128.77,1
3,0,32,1,5477,227,43,46,1,2,2,55,431.53,1
5,0,26,2,1071,99,16,24,3,1,1,59,442.39,1
1,1,25,9,3980,19,37,14,3,2,1,58,338.97,0
9,1,2,8,6492,96,8,5,1,1,1,53,277.87,0
1,1,12,8,5759,259,9,53,1,1,2,58,480.77,1
9,1,40,9,9084,160,19,88,2,1,2,25,487.71,1
3,0,9,1,1039,122,13,98,1,2,2,20,338.76,0
7,1,12,2,6373,39,13,95,5,2,2,47,211.8,0
6,0,26,3,8565,137,25,30,2,2,2,39,417.72,0
8,0,9,8,2900,87,28,60,2,2,1,69,90.16,1
7,1,10,2,3217,64,48,73,2,1,1,50,180.77,1
4,1,32,6,5796,43,26,91,5,2,1,42,493.5,1
1,1,57,2,5606,114,24,28,2,2,1,69,416.45,1
4,1,34,6,2283,181,15,26,2,2,2,47,472.81,0
7,1,48,6,9775,31,35,18,3,1,1,54,317.66,0
9,0,20,8,9650,296,33,36,3,1,1,20,233.45,0
8,1,39,1,1815,114,15,8,1,2,1,21,490.86,0
8,1,2,5,3511,158,32,18,1,2,1,46,189.24,1
0,1,1,8,1246,281,2,84,4,2,2,49,390.84,0
8,0,51,1,5825,285,22,58,5,2,2,40,301.19,0
6,1,36,1,7516,181,10,32,3,1,1,36,152.83,1
8,0,24,4,1416,56,47,93,1,2,1,32,57.87,1
7,1,54,9,7702,123,17,49,5,2,1,68,222.69,1
0,1,27,9,4717,284,46,48,2,1,1,33,296.46,0
7,0,2,9,1107,216,40,82,5,2,2,40,132.44,0
7,1,31,7,5513,251,43,71,3,2,2,57,236.55,1
2,0,57,8,2421,205,28,65,4,2,1,63,326.84,1
0,0,14,1,8283,173,49,92,3,1,1,54,371.72,1
7,0,2,4,1255,185,4,33,1,1,2,18,73.73,1
2,1,29,6,8248,280,23,50,1,2,2,36,348.88,0
2,1,15,5,3962,119,28,4,5,2,1,54,75.5,1
0,1,12,5,3282,181,28,84,3,1,1,52,62.68,0
4,0,37,6,9744,211,25,36,1,1,1,47,118.59,1
9,1,28,2,9372,177,39,95,2,1,2,34,344.14,1
6,0,20,2,2477,111,2,28,2,2,2,56,73.77,0
9,1,39,9,9762,95,1,3,4,1,2,66,59.4,1
8,0,24,8,5952,151,24,6,5,1,2,43,103.08,1
6,0,21,7,6880,222,18,45,1,1,2,30,477.37,1
8,0,10,4,6592,60,39,23,4,2,1,39,458.27,0
7,1,46,5,8091,121,1,7,2,1,1,63,88.91,0
1,0,14,9,1591,280,18,61,4,2,1,40,186.81,1
0,0,37,0,7277,74,0,65,4,2,1,61,476.28,1
6,0,18,9,3260,192,26,6,1,2,2,60,93.96,0
6,0,24,0,1347,19,44,24,1,2,1,50,92.57,0
7,0,14,3,9357,243,48,37,1,1,2,44,88.7,0
4,0,34,1,6032,253,34,45,5,2,2,52,489.41,1
2,1,58,6,5443,276,40,51,4,2,1,29,384.4,1
7,1,12,1,9774,127,4,88,4,2,1,26,146.52,1
5,0,22,9,7869,153,37,45,5,1,1,51,70.68,1
2,1,56,1,6696,210,3,63,2,1,1,31,484.36,0
0,1,6,4,4038,248,16,29,3,1,1,54,241.47,0
2,0,36,3,3845,255,20,96,2,1,1,20,319.27,0
4,0,45,7,8864,17,47,25,5,2,2,61,175.64,1
2,0,36,3,7609,161,30,10,4,2,2,61,391.26,0
0,1,22,5,2265,220,47,35,4,2,2,38,138.56,1
4,0,14,4,3274,167,21,55,1,1,1,24,404.11,0
9,1,16,1,3470,67,10,25,1,1,2,50,153.77,1
6,0,36,7,3577,95,33,91,4,1,1,52,94.06,1
6,1,56,1,4660,64,48,45,4,2,1,28,265.47,0
8,0,25,8,2068,210,14,96,1,2,2,62,415.95,0
9,0,32,8,6591,131,49,12,1,2,2,49,223.19,0
9,1,33,2,6974,117,9,4,2,1,1,39,62.99,0
2,1,45,3,5829,141,37,90,4,1,1,59,298.99,0
6,1,36,7,2950,207,31,67,4,2,2,36,356.21,0
0,1,20,8,9283,56,47,17,5,1,2,53,383.31,1
3,1,18,2,4093,237,30,73,2,2,2,54,230.87,0
3,1,38,4,6311,254,36,93,3,2,2,28,93.66,1
4,0,3,7,2387,212,43,65,3,1,2,58,312.95,1
6,1,23,2,5274,270,27,82,3,2,2,30,198.3,1
6,0,32,6,3285,187,30,53,1,2,1,45,476.1,0
3,0,45,7,4206,33,5,84,3,2,2,66,276.22,0
6,1,59,9,3924,184,13,57,5,2,1,32,262.52,0
2,0,16,2,8045,283,22,98,1,2,1,30,189.14,0
5,1,59,1,9471,270,15,28,1,1,2,60,202.45,0
1,1,5,9,2618,295,24,99,3,2,2,50,280.74,0
9,0,4,6,9562,10,38,16,1,1,2,25,188.0,1
8,0,21,8,6896,95,1,21,2,2,1,49,451.54,1
4,1,40,0,8843,78,37,77,2,1,1,54,247.56,1
5,1,51,2,8063,40,40,99,3,1,2,65,181.41,1
3,0,14,4,9495,207,38,42,5,1,2,21,119.93,1
9,0,39,2,2348,100,33,54,1,2,1,68,352.56,0
6,0,31,0,6556,25,39,32,4,1,1,35,61.6,0
8,0,14,6,6289,285,42,38,3,2,2,40,252.5,1
6,1,6,6,3422,171,24,70,1,2,2,46,297.55,1
0,1,12,9,4628,201,35,38,3,1,2,19,202.9,1
0,1,16,7,3428,160,15,54,3,1,1,30,387.42,0
8,1,17,4,4033,122,17,60,5,2,1,33,354.05,0
8,0,45,9,7157,282,12,77,4,2,2,25,487.13,0
3,0,23,4,9860,185,36,77,1,2,2,36,278.95,0
8,1,14,4,9691,158,26,47,3,1,2,49,292.02,0
2,1,7,0,8813,187,33,12,3,2,1,20,160.63,0
6,1,46,9,2414,232,10,53,1,2,1,68,223.47,0
5,1,32,4,7708,268,0,33,3,2,1,66,62.09,1
7,1,15,5,9721,282,12,28,3,2,2,49,360.17,1
8,1,44,0,7635,198,29,3,3,2,2,58,190.23,0
4,1,17,6,4621,99,4,82,2,2,2,38,293.17,1
0,1,41,0,6315,271,17,26,2,2,1,42,164.75,0
2,1,54,1,1754,165,13,54,4,2,1,34,329.47,1
9,0,47,1,3347,209,12,40,5,2,1,42,251.41,0
7,1,44,4,1726,64,31,66,1,2,2,50,266.84,0
5,0,34,9,5923,263,6,68,5,2,2,48,474.17,1
7,0,5,6,3649,182,7,92,5,2,1,53,367.77,0
8,1,45,0,3815,209,49,92,2,1,2,40,167.85,1
3,1,27,9,4279,111,6,89,4,2,2,64,276.76,0
0,0,52,0,3984,294,48,90,5,2,1,61,260.0,1
0,0,23,0,4807,160,15,47,5,2,1,42,407.77,0
9,1,40,5,8876,120,42,2,3,2,1,66,425.01,1
3,0,59,1,7099,275,30,42,1,2,1,61,177.55,0
6,1,14,0,1607,100,26,34,4,1,1,65,419.52,1
1,1,15,5,7169,186,32,94,1,2,2,47,130.78,1
2,1,43,1,8790,240,28,21,2,1,1,30,393.25,1
0,0,33,5,6573,38,7,44,5,2,2,60,161.95,1
4,0,53,9,1634,204,32,87,5,1,2,64,184.07,0
0,1,31,7,2074,248,40,97,1,1,1,46,433.61,1
7,0,35,1,2914,276,18,2,2,2,1,33,239.03,0
0,0,17,8,1588,223,20,91,3,1,2,55,495.75,0
0,0,28,7,4231,91,40,59,3,1,2,44,118.37,0
1,0,19,9,7351,137,20,86,5,2,2,43,258.51,0
1,0,46,0,4838,271,24,98,5,1,1,28,379.6,0
5,0,54,6,2973,76,41,16,4,1,2,64,52.42,0
6,0,23,9,6044,71,22,20,1,1,1,54,118.33,0
4,1,32,5,7103,142,10,26,5,2,1,20,59.16,0
0,0,40,5,7683,146,32,16,2,2,2,43,496.8,1
0,0,13,5,6837,37,19,70,1,2,1,51,392.28,1
2,0,59,5,7783,220,24,23,4,2,2,50,218.1,0
1,0,20,9,6594,214,25,42,3,1,2,32,120.33,1
4,0,35,6,4822,262,39,37,4,2,1,19,90.67,1
9,0,5,2,4389,47,11,72,1,1,1,45,289.36,0
5,0,9,5,6914,52,31,6,3,2,2,37,489.15,1
6,0,29,2,2780,126,32,37,2,2,1,55,353.57,1
3,1,6,6,4688,199,9,22,3,1,1,61,214.31,1
6,0,25,6,8211,55,3,6,3,1,2,33,275.38,0
7,0,31,7,6037,175,14,32,2,2,1,63,499.51,0
0,0,22,1,7319,212,5,17,5,2,2,21,283.44,1
5,0,2,8,9640,242,26,38,5,2,2,25,483.89,0
7,1,45,4,1081,254,4,17,3,2,1,61,57.36,0
4,1,5,8,7278,218,4,37,3,2,2,63,374.43,1
3,1,27,9,7999,257,17,23,4,1,1,37,332.22,1
1,1,25,4,2406,167,27,49,5,2,2,43,358.4,1
5,1,8,6,8410,10,34,61,2,1,1,49,306.76,1
5,1,55,8,2480,226,21,49,3,2,2,30,69.88,0
0,1,1,3,4598,258,33,61,3,2,2,22,117.3,0
8,1,20,1,8993,78,3,77,4,1,1,61,465.01,0
5,1,44,8,5183,39,17,32,4,2,1,59,154.82,0
2,1,23,1,4680,124,40,86,4,1,1,68,496.82,0
3,1,32,2,8644,17,25,63,1,1,1,30,355.81,0
3,1,11,9,5310,284,41,7,2,2,1,58,249.96,0
2,1,39,1,2758,45,21,22,1,1,1,28,464.02,0
9,1,47,2,3599,53,46,85,3,2,1,54,407.74,0
2,1,54,5,6616,164,32,6,4,2,1,49,243.03,1
2,1,24,2,6813,86,42,61,4,2,1,62,80.87,0
3,0,11,9,4853,87,13,14,4,2,2,59,440.74,0
6,1,29,7,3292,110,30,16,5,2,1,35,394.27,0
3,0,54,5,2501,39,9,3,2,2,2,46,405.83,1
8,1,26,6,9422,48,23,9,1,2,1,32,385.19,1
0,1,16,0,8550,248,20,47,2,1,1,37,174.09,0
7,0,35,2,5250,22,47,85,4,2,2,61,436.48,0
6,1,20,2,7991,131,7,94,3,1,2,53,51.0,1
1,0,46,1,1114,153,31,94,5,2,1,22,156.77,0
7,0,3,6,5406,181,30,42,2,2,2,57,70.95,1
0,0,1,8,3347,256,33,42,3,1,1,54,99.77,0
8,1,58,3,2041,256,22,96,4,1,2,50,289.57,1
8,1,53,4,7927,54,24,23,4,1,1,35,66.77,1
1,1,47,2,1011,262,6,3,4,1,2,36,131.62,0
6,0,1,8,8980,216,18,1,4,2,1,68,154.73,1
9,0,17,3,8871,16,6,67,5,2,2,49,344.9,1
2,1,2,4,7375,251,46,71,5,1,1,59,260.97,1
6,1,29,0,8098,119,7,3,2,2,2,39,256.29,0
9,1,20,1,4676,123,13,49,4,1,1,58,395.79,0
8,1,6,8,7109,285,0,67,5,1,1,18,255.52,1
3,1,8,1,6397,105,12,55,3,1,1,42,206.82,1
0,0,29,4,4065,198,2,4,5,1,2,37,483.1,0
1,0,48,7,3036,297,27,31,5,1,2,52,53.73,0
0,0,51,2,4046,163,37,66,2,2,2,62,187.43,0
4,1,33,5,1540,67,14,78,5,1,2,23,324.23,1
4,0,3,3,1076,59,35,64,3,1,2,23,402.26,0
6,0,35,6,4067,216,2,31,4,2,1,67,417.39,0
8,0,5,9,1023,61,3,63,1,1,2,54,70.73,0
8,0,27,2,6134,159,4,66,2,1,1,66,369.11,0
2,0,44,5,1675,62,49,31,3,2,1,20,374.11,1
2,1,12,9,7668,222,25,47,2,2,1,54,146.34,1
2,0,20,8,5267,75,24,22,4,2,1,48,100.75,0
3,1,45,9,6988,241,9,74,5,2,1,52,387.36,1
7,1,20,0,8652,160,7,94,5,2,2,62,162.28,0
5,1,9,2,9680,214,11,97,3,1,1,32,50.75,1
7,1,39,1,2485,264,2,83,4,1,2,34,150.61,0
0,1,4,7,4659,146,26,46,1,1,1,32,63.98,0
7,0,51,6,3419,144,49,89,1,2,1,22,162.13,1
3,0,54,1,8740,63,22,58,5,2,2,39,200.76,0
0,1,19,5,8143,74,39,61,4,2,2,63,172.13,0
7,1,38,2,4495,11,32,46,4,2,1,28,463.97,1
3,1,27,7,1756,141,13,1,3,2,1,45,154.64,0
5,0,45,9,9448,41,22,96,1,2,1,31,260.39,1
7,1,43,2,2779,252,30,25,3,1,2,56,480.84,0
3,0,13,9,7487,201,12,61,2,2,2,20,445.64,0
2,1,13,8,1258,151,11,81,4,1,1,69,189.17,1
8,0,57,0,5075,157,34,14,1,1,2,59,196.92,1
2,1,22,4,9498,98,17,45,3,1,2,28,317.0,0
8,0,28,2,9014,58,20,77,5,2,2,47,463.04,0
1,1,52,5,2118,145,44,39,2,2,2,55,54.5,1
1,0,47,9,8631,200,46,66,3,2,2,22,226.9,1
1,0,53,1,4017,158,41,32,5,2,2,69,432.4,0
5,0,45,8,5341,96,0,96,1,2,2,39,234.71,0
2,0,22,5,2658,17,37,58,1,1,1,30,374.02,0
8,0,43,6,9378,232,40,56,2,1,2,61,361.37,1
3,0,19,4,2797,25,41,6,5,2,2,68,142.46,0
0,0,8,8,1784,115,46,89,4,1,1,68,252.32,1
3,1,52,0,6691,292,8,67,1,1,2,38,304.78,0
0,1,8,4,4196,113,22,82,4,2,2,54,371.96,1
4,1,42,9,9532,155,13,50,4,1,2,42,420.08,0
3,1,26,5,1562,44,10,38,3,1,2,69,391.97,1
7,1,48,6,5746,122,6,3,3,2,1,38,62.74,1
7,0,51,3,3999,62,30,5,1,1,2,45,351.79,0
6,0,26,0,2193,90,23,24,4,2,1,58,273.79,1
2,0,23,7,1068,113,25,54,3,2,2,21,308.24,1
0,0,43,9,6679,251,29,34,5,2,2,46,217.83,1
0,0,13,3,3428,40,33,39,5,1,2,64,371.31,0
2,1,28,2,7200,201,45,88,5,1,2,52,353.25,0
5,1,9,6,6396,242,37,92,5,1,1,40,310.77,0
6,1,20,1,7993,107,4,48,4,2,1,24,437.72,0
5,1,56,7,4598,43,4,49,5,1,1,69,95.86,1
5,0,19,5,1573,252,18,34,4,1,1,69,185.46,1
5,0,48,6,5214,68,37,80,1,2,1,63,272.81,0
2,0,39,4,8636,268,27,7,1,2,2,63,481.37,1
5,1,51,8,2478,26,25,18,5,2,1,26,82.38,1
7,0,12,4,7127,87,41,70,5,1,1,40,201.68,0
1,1,15,4,7676,215,22,92,5,2,2,20,466.65,0
4,0,31,2,3196,175,45,34,1,1,1,26,454.08,1
0,0,55,0,9166,121,48,51,3,2,2,21,439.36,0
0,1,14,1,9846,154,29,93,1,2,1,66,188.78,1
4,0,11,7,7050,165,2,68,5,2,2,42,431.08,1
2,0,26,0,5650,187,27,14,3,2,1,23,277.4,0
3,1,42,6,9484,145,32,69,3,1,2,65,328.9,0
2,0,27,4,5526,27,41,89,2,1,1,35,157.47,1
0,1,11,2,5412,164,2,8,4,1,1,62,368.0,0
0,0,38,6,6443,281,4,15,5,2,2,24,197.46,1
4,0,34,8,9787,275,18,83,4,1,2,52,204.75,1
5,0,43,1,3593,25,41,59,2,2,2,48,336.57,0
2,0,19,7,7852,21,47,11,4,2,1,55,157.92,0
8,0,6,8,7629,84,0,20,5,1,2,49,151.0,0
4,0,46,2,4869,221,37,55,2,2,1,52,216.12,0
7,0,52,1,8971,188,8,36,4,2,2,45,400.13,1
0,0,38,6,8822,138,4,82,1,1,1,61,151.11,0
4,1,49,4,3989,292,45,14,3,1,2,22,404.29,0
2,1,42,4,8062,204,41,58,2,2,2,47,363.02,0
0,0,28,9,6340,277,33,38,1,1,1,39,355.59,1
3,0,1,4,4823,39,36,89,5,2,2,34,263.64,0
4,1,35,3,4932,18,32,80,3,1,2,27,385.65,0
6,0,40,4,9554,174,24,82,2,2,2,24,56.08,0
0,0,8,3,3429,202,41,1,3,2,1,21,187.52,0
2,1,59,5,8444,269,28,65,2,2,1,59,355.61,0
1,0,52,3,8147,201,24,1,2,1,2,44,494.28,1
8,0,54,1,8631,88,8,85,4,1,2,24,51.13,1
9,1,47,8,4598,188,2,60,3,2,1,40,279.49,1
5,0,56,1,5329,100,14,25,3,1,1,28,465.73,0
9,0,7,8,7718,224,3,91,1,1,2,25,438.59,0
2,1,11,9,9218,88,44,10,5,1,1,25,60.41,1
7,0,39,5,1092,112,37,50,1,2,2,54,288.3,0
7,1,4,8,9500,120,19,12,4,1,2,22,51.93,1
1,0,25,8,1051,256,48,92,2,1,1,24,405.31,0
5,0,12,2,1318,243,22,32,4,1,1,39,188.99,1
6,1,26,0,6688,91,36,33,4,2,1,53,394.52,1
1,1,38,0,8018,141,46,72,1,2,1,19,475.16,0
9,0,46,2,8210,244,7,26,2,2,1,41,489.24,0
1,1,12,4,4956,287,36,42,5,1,1,68,452.35,0
9,1,43,2,7057,108,44,50,4,2,1,19,141.86,0
0,0,51,8,7875,47,32,61,5,1,1,65,137.57,0
7,0,53,8,5431,170,32,41,2,1,2,29,331.6,1
0,0,37,2,2525,126,6,57,2,2,2,64,294.82,0
8,1,46,2,8043,250,21,2,1,1,1,59,54.29,1
5,1,53,4,2278,35,4,99,3,2,2,43,226.28,0
6,1,24,1,9705,145,45,98,1,1,2,55,458.01,1
9,1,16,5,7125,59,14,70,5,1,2,62,454.26,1
6,0,57,6,8874,163,20,31,1,1,2,23,141.76,1
9,1,13,8,7900,229,24,23,2,1,2,40,221.88,0
2,0,25,5,3500,149,16,76,4,1,1,19,302.16,1
1,1,54,2,4464,58,49,54,3,2,1,43,433.75,0
8,0,54,4,3259,151,6,28,2,2,1,31,289.4,1
7,0,57,3,8496,55,49,79,4,2,1,35,485.69,0
9,0,52,4,3659,172,18,19,5,2,1,55,409.57,1
6,1,54,7,1255,294,6,76,5,1,1,49,478.89,0
8,0,4,7,2502,277,39,48,5,1,2,68,379.17,0
3,0,11,5,5656,125,44,2,1,2,1,31,444.93,1
3,1,32,0,6430,91,49,11,5,2,2,47,423.95,1
0,0,49,7,9598,53,23,44,5,1,1,30,164.23,0
7,1,7,7,4176,203,10,59,1,2,2,57,153.29,1
2,1,46,1,2860,267,40,59,4,1,2,48,438.97,0
6,0,58,3,7158,282,0,38,2,1,1,54,88.1,0
1,0,11,1,6806,283,31,25,3,2,1,62,233.85,1
1,1,28,3,5354,287,39,21,5,1,1,55,419.3,0
6,0,54,9,1722,92,43,42,5,1,1,39,415.96,1
5,1,41,6,8579,67,1,36,5,2,2,45,112.45,0
2,1,23,8,1613,62,14,9,1,2,1,36,269.47,0
8,1,45,7,4331,10,20,12,1,1,1,60,265.92,0
9,0,23,8,6790,225,23,10,1,2,2,33,195.67,0
5,1,50,7,4116,237,49,59,3,1,2,22,462.73,1
9,0,28,1,1330,263,16,5,2,2,1,61,343.9,0
9,0,43,6,3212,168,46,33,5,1,1,66,491.08,1
5,0,47,1,6493,296,8,69,4,1,2,19,80.04,0
0,0,57,1,8232,75,34,80,5,1,1,27,227.46,0
3,1,26,3,6614,104,19,63,5,1,2,64,425.81,1
9,0,25,0,6913,262,18,29,5,1,2,36,240.21,0
5,1,54,4,6913,159,17,18,5,1,1,37,167.85,0
5,1,29,5,6611,32,19,93,2,1,2,46,499.01,1
4,0,19,8,1319,253,29,6,4,1,1,42,442.91,0
0,1,33,9,9085,224,39,53,1,1,1,34,295.91,0
7,1,36,7,5200,140,0,82,4,2,1,68,302.77,0
4,0,14,1,5791,157,23,32,5,1,2,68,53.09,1
4,1,14,0,1329,118,23,42,4,2,1,30,491.45,1
6,1,35,1,9851,49,46,47,5,2,1,62,412.83,1
3,1,30,6,7742,130,18,31,4,2,2,33,66.53,1
5,1,28,3,5916,129,29,62,3,1,1,52,129.35,1
3,0,17,9,2793,27,25,56,4,1,1,53,419.46,1
2,1,3,4,7457,178,41,11,1,2,1,56,89.09,1
6,1,16,6,9125,207,43,26,1,1,2,20,473.8,1
7,1,46,2,6703,152,37,92,4,1,2,26,499.95,0
3,1,30,9,7170,46,28,27,4,1,1,57,448.89,1
1,0,52,1,7644,195,12,83,2,1,1,67,382.51,0
9,1,29,6,8420,270,3,57,4,1,1,63,269.28,0
2,0,45,4,5155,240,44,27,1,1,2,69,87.09,0
0,1,15,0,9411,263,16,59,3,2,1,46,378.7,0
7,0,46,0,3611,19,32,62,1,2,1,22,228.59,0
2,0,56,8,6691,239,4,20,2,2,1,20,306.6,1
9,0,25,4,3593,33,27,3,4,2,2,27,182.03,1
6,0,51,0,1095,87,23,16,3,2,2,48,158.97,0
9,0,38,6,7041,202,16,44,1,1,2,28,195.93,1
4,1,42,8,6063,118,49,93,3,1,2,34,416.22,1
9,1,59,0,9437,289,38,79,5,1,2,57,241.92,1
4,1,47,9,4349,272,47,30,1,2,1,58,190.27,1
6,0,53,3,8644,277,39,40,5,2,1,25,244.84,1
8,1,54,2,7560,268,43,65,3,1,1,69,64.53,0
4,0,52,4,6247,94,45,29,4,2,1,19,450.77,0
0,0,58,6,6356,19,10,30,4,1,2,21,298.29,0
9,1,38,7,5077,298,11,32,4,1,2,33,97.17,0
9,1,23,1,5898,68,12,10,5,1,1,58,179.78,0
0,0,25,6,2417,271,7,91,4,2,2,58,492.6,1
1,0,42,0,9846,294,0,51,2,2,1,38,316.88,1
5,1,7,6,1110,128,8,8,1,1,2,22,181.13,0
8,1,22,7,9281,177,27,51,1,1,1,52,241.86,0
7,1,17,1,9954,198,1,36,3,2,1,31,166.31,1
4,1,18,8,8391,260,13,55,5,2,1,32,64.31,1
0,0,49,0,6132,238,12,35,1,2,2,23,428.91,0
6,1,41,5,3504,199,47,36,5,2,1,33,181.62,0
4,1,10,0,9289,133,1,56,3,1,1,40,427.28,1
5,1,10,2,6239,93,3,36,4,1,2,48,265.35,1
6,0,57,5,1292,224,11,89,3,2,1,59,132.3,0
2,0,7,2,2734,246,47,84,2,2,2,63,410.84,1
9,0,48,7,6120,122,9,61,4,2,2,29,219.7,1
2,0,50,4,7393,226,2,62,4,2,2,58,368.48,0
4,1,38,1,3196,255,3,81,4,1,1,36,426.75,1
5,0,27,3,4466,46,5,87,3,2,2,29,483.34,0
8,1,52,8,2906,73,22,25,2,2,2,62,88.62,1
4,1,33,3,2721,228,4,64,5,1,2,30,53.77,0
0,1,1,9,2816,43,49,60,3,2,1,66,296.79,1
3,1,44,9,9444,48,2,57,1,1,2,19,168.91,1
4,0,53,7,5227,76,9,95,1,1,1,37,261.1,0
9,0,34,4,6775,218,42,70,3,1,2,48,82.7,0
9,0,4,9,4849,161,18,99,5,2,2,26,275.72,1
4,1,17,0,6228,208,13,52,1,1,1,38,106.19,0
6,1,4,6,7849,98,20,56,5,2,1,25,427.36,0
3,1,43,2,2058,257,42,63,4,2,1,56,391.77,1
0,1,54,9,3322,88,27,68,3,1,2,54,83.33,1
4,1,26,7,9378,294,20,20,4,1,2,46,426.36,1
6,0,4,2,1948,41,35,54,1,1,1,36,196.23,0
9,1,1,0,9179,96,23,1,5,2,1,52,208.79,1
9,0,7,4,5359,48,37,90,4,2,1,62,130.91,1
5,1,30,1,6660,110,16,98,1,1,1,55,425.89,0
4,1,50,3,8254,253,21,10,2,2,1,43,232.12,0
3,0,9,0,9401,241,18,23,4,1,2,28,71.98,0
1,0,35,8,3093,77,44,51,2,2,2,53,484.81,1
3,1,8,5,2563,201,9,24,2,2,1,52,165.15,0
9,1,24,7,9217,37,10,13,1,2,1,21,471.28,1
9,1,19,3,1174,279,37,29,3,2,2,20,185.56,1
2,1,36,8,2334,235,1,58,5,1,1,62,424.14,1
9,0,50,1,1321,86,32,91,1,1,1,64,348.9,1
0,1,52,8,6698,232,42,95,4,1,1,29,437.58,0
7,0,59,4,6604,176,30,43,5,2,1,49,489.25,0
4,1,43,5,7742,293,47,10,3,2,2,64,442.17,0
3,0,27,2,8436,201,34,31,1,1,1,43,231.65,0
7,0,32,3,9524,98,36,74,3,1,2,60,416.53,1
6,1,14,5,6674,41,46,88,4,1,2,60,370.24,0
1,0,57,6,6002,146,46,97,1,2,2,30,77.72,1
0,1,18,0,1910,165,35,14,4,1,2,61,468.39,0
3,0,28,6,1949,259,22,99,5,1,1,55,259.68,0
7,1,29,0,6425,104,35,34,5,1,2,46,110.5,1
